worker_dock_am,worker_inbound_am,worker_outbound_am,forklift_dock_am,forklift_inbound_am,forklift_outbound_am,worker_dock_pm,worker_inbound_pm,worker_outbound_pm,forklift_dock_pm,forklift_inbound_pm,forklift_outbound_pm,,,,,
2,12,3,2,7,3,3,8,4,3,8,4,,20,32,,0.625
2,4,5,2,4,5,6,12,3,6,10,3,,16,32,,0.5
2,3,9,2,3,9,2,11,5,2,7,5,,14,32,,0.4375
3,3,2,3,3,2,5,10,8,5,7,5,,13,31,,0.419354839
4,4,2,4,4,2,2,17,2,2,10,2,,21,31,,0.677419355
3,2,3,3,2,3,2,17,2,2,13,2,,19,29,,0.655172414
4,3,3,4,3,3,6,14,3,6,10,3,,17,33,,0.515151515
2,2,2,2,2,2,2,9,11,2,9,6,,11,28,,0.392857143
2,2,2,2,2,2,7,20,2,7,9,2,,22,35,,0.628571429
2,2,3,2,2,3,5,10,5,5,8,5,,12,27,,0.444444444
3,2,2,3,2,2,2,7,12,2,7,8,,9,28,,0.321428571
2,4,2,2,4,2,2,14,6,2,12,4,,18,30,,0.6
2,10,2,2,10,2,2,9,3,2,9,3,,19,28,,0.678571429
3,12,3,3,12,3,2,10,2,2,10,2,,22,32,,0.6875
2,2,6,2,2,5,6,11,2,6,11,2,,13,29,,0.448275862
2,8,2,2,8,2,2,10,4,2,10,3,,18,28,,0.642857143
6,2,2,6,2,2,3,9,6,3,9,6,,11,28,,0.392857143
4,3,2,4,3,2,4,15,2,4,15,2,,18,30,,0.6
2,6,2,2,5,2,2,11,4,2,11,4,,17,27,,0.62962963
2,2,2,2,2,2,4,17,5,4,7,5,,19,32,,0.59375
2,6,2,2,6,2,2,12,6,2,10,6,,18,30,,0.6
2,2,2,2,2,2,3,16,3,3,12,3,,18,28,,0.642857143
3,2,2,3,2,2,6,16,2,6,10,2,,18,31,,0.580645161
9,3,3,9,3,3,2,8,3,2,8,3,,11,28,,0.392857143
4,2,3,4,2,3,6,12,2,6,9,2,,14,29,,0.482758621
2,4,2,2,4,2,7,11,2,7,11,2,,15,28,,0.535714286
7,2,2,7,2,2,3,9,5,3,9,4,,11,28,,0.392857143
2,3,2,2,3,2,2,17,3,2,14,3,,20,29,,0.689655172
3,2,2,3,2,2,9,11,2,9,11,2,,13,29,,0.448275862
3,2,5,3,2,5,6,11,2,6,11,2,,13,29,,0.448275862
6,5,3,6,5,3,3,9,7,3,9,5,,14,33,,0.424242424
,,,,,,,,,,,,,,,,0.533176766
