Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
0.00 ,301.35 ,531.00 ,219.00 ,28.43 ,251.61 ,21.31 ,1.00 ,
1.00 ,267.98 ,530.00 ,219.00 ,28.27 ,221.78 ,17.93 ,0.37 ,
2.00 ,251.27 ,529.00 ,217.00 ,28.48 ,195.22 ,27.57 ,0.53 ,
3.00 ,292.11 ,529.00 ,218.00 ,28.43 ,201.76 ,61.93 ,0.12 ,
4.00 ,286.74 ,525.00 ,214.00 ,28.48 ,228.45 ,29.81 ,0.42 ,
5.00 ,254.15 ,524.00 ,214.00 ,28.48 ,199.61 ,26.06 ,0.09 ,
6.00 ,278.86 ,522.00 ,212.00 ,28.52 ,214.37 ,35.97 ,0.61 ,
7.00 ,275.90 ,521.00 ,213.00 ,28.50 ,225.65 ,21.75 ,0.09 ,
8.00 ,272.21 ,519.00 ,211.00 ,28.49 ,220.74 ,22.98 ,0.45 ,
9.00 ,235.54 ,519.00 ,209.00 ,28.17 ,184.27 ,23.09 ,0.51 ,
10.00 ,217.54 ,518.00 ,207.00 ,28.03 ,161.14 ,28.37 ,0.28 ,
11.00 ,235.27 ,510.00 ,201.00 ,28.01 ,142.24 ,65.02 ,0.90 ,
12.00 ,226.74 ,508.00 ,202.00 ,28.02 ,177.93 ,20.78 ,0.11 ,
13.00 ,131.66 ,496.00 ,200.00 ,28.00 ,75.81 ,27.85 ,0.80 ,
14.00 ,149.64 ,496.00 ,198.00 ,27.95 ,99.58 ,22.11 ,0.26 ,
15.00 ,150.04 ,493.00 ,197.00 ,28.16 ,99.16 ,22.72 ,0.50 ,
16.00 ,128.30 ,487.00 ,198.00 ,28.16 ,76.88 ,23.26 ,0.58 ,
17.00 ,129.33 ,488.00 ,198.00 ,28.15 ,78.46 ,22.73 ,0.13 ,
18.00 ,156.38 ,488.00 ,197.00 ,28.25 ,105.73 ,22.40 ,0.28 ,
