Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
0.00 ,117.39 ,413.00 ,179.00 ,167.00 ,237.00 ,29.36 ,49.28 ,38.75 ,1.00 
1.00 ,177.26 ,414.00 ,179.00 ,166.00 ,235.00 ,29.01 ,89.06 ,59.20 ,0.13 
2.00 ,123.05 ,416.00 ,180.00 ,167.00 ,236.00 ,29.36 ,70.14 ,23.56 ,0.19 
3.00 ,141.49 ,419.00 ,179.00 ,166.00 ,236.00 ,29.89 ,50.83 ,60.76 ,0.23 
4.00 ,168.54 ,417.00 ,176.00 ,165.00 ,232.00 ,30.14 ,65.83 ,72.57 ,0.32 
5.00 ,114.19 ,418.00 ,176.00 ,165.00 ,231.00 ,30.20 ,62.24 ,21.74 ,0.21 
6.00 ,152.71 ,418.00 ,176.00 ,164.00 ,233.00 ,30.09 ,65.33 ,57.29 ,0.29 
7.00 ,125.99 ,416.00 ,173.00 ,164.00 ,228.00 ,29.50 ,76.65 ,19.83 ,0.50 
8.00 ,163.64 ,416.00 ,174.00 ,163.00 ,228.00 ,30.57 ,68.19 ,64.89 ,0.27 
9.00 ,131.03 ,414.00 ,173.00 ,164.00 ,226.00 ,33.57 ,74.61 ,22.85 ,0.42 
10.00 ,122.50 ,413.00 ,172.00 ,164.00 ,227.00 ,32.88 ,64.59 ,25.04 ,0.47 
11.00 ,139.03 ,411.00 ,170.00 ,165.00 ,225.00 ,33.56 ,84.12 ,21.35 ,0.54 
12.00 ,129.42 ,412.00 ,169.00 ,164.00 ,226.00 ,32.78 ,75.20 ,21.44 ,0.27 
13.00 ,183.32 ,411.00 ,167.00 ,162.00 ,230.00 ,33.48 ,79.55 ,70.28 ,0.57 
14.00 ,164.51 ,409.00 ,165.00 ,161.00 ,226.00 ,30.25 ,64.21 ,70.06 ,0.53 
15.00 ,109.64 ,406.00 ,161.00 ,162.00 ,227.00 ,28.83 ,60.78 ,20.03 ,0.45 
16.00 ,129.18 ,406.00 ,162.00 ,162.00 ,226.00 ,28.83 ,47.92 ,52.43 ,0.21 
17.00 ,158.51 ,405.00 ,162.00 ,163.00 ,227.00 ,28.68 ,59.91 ,69.93 ,0.54 
18.00 ,157.69 ,402.00 ,161.00 ,161.00 ,227.00 ,28.88 ,75.47 ,53.34 ,0.36 
19.00 ,138.89 ,393.00 ,160.00 ,157.00 ,225.00 ,28.59 ,60.18 ,50.12 ,0.60 
20.00 ,117.28 ,391.00 ,157.00 ,152.00 ,224.00 ,27.90 ,66.57 ,22.80 ,0.64 
21.00 ,125.51 ,388.00 ,160.00 ,150.00 ,227.00 ,27.84 ,62.15 ,35.52 ,0.57 
22.00 ,105.24 ,390.00 ,162.00 ,149.00 ,227.00 ,27.90 ,58.06 ,19.28 ,0.28 
23.00 ,114.44 ,381.00 ,160.00 ,150.00 ,229.00 ,28.17 ,61.99 ,24.27 ,0.51 
24.00 ,141.34 ,380.00 ,159.00 ,151.00 ,226.00 ,28.11 ,57.70 ,55.53 ,0.30 
25.00 ,103.18 ,377.00 ,160.00 ,151.00 ,228.00 ,28.06 ,58.72 ,16.40 ,0.45 
26.00 ,164.44 ,375.00 ,160.00 ,151.00 ,226.00 ,27.99 ,71.26 ,65.19 ,0.29 
27.00 ,159.39 ,377.00 ,161.00 ,149.00 ,226.00 ,28.10 ,67.09 ,64.21 ,0.44 
28.00 ,102.60 ,377.00 ,157.00 ,148.00 ,227.00 ,28.01 ,50.64 ,23.94 ,0.56 
29.00 ,114.73 ,378.00 ,157.00 ,149.00 ,228.00 ,27.99 ,63.30 ,23.43 ,0.23 
30.00 ,106.70 ,379.00 ,157.00 ,149.00 ,228.00 ,28.02 ,56.68 ,22.00 ,0.07 
31.00 ,123.47 ,376.00 ,159.00 ,152.00 ,228.00 ,27.99 ,73.28 ,22.20 ,0.50 
32.00 ,122.75 ,377.00 ,158.00 ,153.00 ,230.00 ,28.47 ,74.14 ,20.14 ,0.31 
33.00 ,158.37 ,374.00 ,158.00 ,153.00 ,229.00 ,28.46 ,73.18 ,56.74 ,0.16 
34.00 ,123.24 ,373.00 ,154.00 ,152.00 ,228.00 ,28.48 ,70.26 ,24.50 ,0.39 
35.00 ,171.96 ,373.00 ,154.00 ,152.00 ,229.00 ,27.94 ,70.98 ,73.03 ,0.13 
36.00 ,115.75 ,373.00 ,153.00 ,153.00 ,231.00 ,28.43 ,67.15 ,20.16 ,0.50 
37.00 ,149.11 ,373.00 ,153.00 ,153.00 ,230.00 ,28.44 ,70.28 ,50.38 ,0.22 
38.00 ,112.05 ,372.00 ,152.00 ,152.00 ,230.00 ,27.76 ,59.64 ,24.65 ,0.51 
39.00 ,140.59 ,374.00 ,148.00 ,152.00 ,229.00 ,28.45 ,59.70 ,52.44 ,0.49 
40.00 ,107.12 ,373.00 ,147.00 ,150.00 ,230.00 ,27.93 ,57.81 ,21.37 ,0.20 
41.00 ,105.13 ,376.00 ,147.00 ,148.00 ,231.00 ,27.95 ,60.65 ,16.52 ,0.36 
42.00 ,115.15 ,376.00 ,146.00 ,147.00 ,230.00 ,28.42 ,64.33 ,22.39 ,0.36 
43.00 ,163.24 ,374.00 ,144.00 ,143.00 ,229.00 ,28.37 ,65.65 ,69.22 ,0.38 
44.00 ,156.67 ,372.00 ,145.00 ,142.00 ,225.00 ,27.88 ,62.87 ,65.91 ,0.33 
45.00 ,107.97 ,377.00 ,146.00 ,139.00 ,224.00 ,27.88 ,54.22 ,25.87 ,0.34 
46.00 ,103.67 ,376.00 ,146.00 ,140.00 ,223.00 ,27.89 ,56.39 ,19.39 ,0.17 
