Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
0.00 ,115.20 ,415.00 ,167.00 ,173.00 ,287.00 ,27.80 ,67.66 ,19.75 ,1.00 ,
1.00 ,161.87 ,411.00 ,167.00 ,174.00 ,285.00 ,27.74 ,68.92 ,65.20 ,0.34 ,
2.00 ,130.37 ,411.00 ,165.00 ,174.00 ,283.00 ,27.72 ,77.40 ,25.26 ,0.30 ,
3.00 ,158.88 ,409.00 ,162.00 ,173.00 ,281.00 ,27.72 ,67.04 ,64.12 ,0.53 ,
4.00 ,121.79 ,405.00 ,159.00 ,169.00 ,278.00 ,27.83 ,65.84 ,28.12 ,0.52 ,
5.00 ,147.95 ,403.00 ,157.00 ,168.00 ,276.00 ,27.82 ,49.03 ,71.10 ,0.37 ,
6.00 ,116.08 ,402.00 ,158.00 ,169.00 ,275.00 ,27.90 ,66.91 ,21.27 ,0.37 ,
7.00 ,140.22 ,396.00 ,157.00 ,169.00 ,273.00 ,27.95 ,53.31 ,58.96 ,0.46 ,
8.00 ,144.41 ,395.00 ,155.00 ,169.00 ,272.00 ,27.88 ,52.49 ,64.04 ,0.35 ,
9.00 ,112.57 ,395.00 ,154.00 ,170.00 ,271.00 ,27.82 ,63.55 ,21.20 ,0.27 ,
10.00 ,117.44 ,395.00 ,152.00 ,169.00 ,268.00 ,27.86 ,66.16 ,23.42 ,0.40 ,
11.00 ,140.40 ,389.00 ,149.00 ,164.00 ,263.00 ,27.95 ,59.78 ,52.67 ,0.69 ,
12.00 ,110.33 ,386.00 ,149.00 ,163.00 ,260.00 ,27.96 ,52.01 ,30.36 ,0.45 ,
13.00 ,113.54 ,387.00 ,147.00 ,163.00 ,259.00 ,27.89 ,64.75 ,20.90 ,0.35 ,
14.00 ,143.56 ,386.00 ,148.00 ,164.00 ,256.00 ,27.91 ,58.72 ,56.93 ,0.26 ,
15.00 ,108.53 ,378.00 ,147.00 ,164.00 ,255.00 ,28.24 ,56.97 ,23.32 ,0.46 ,
16.00 ,118.03 ,383.00 ,147.00 ,165.00 ,252.00 ,28.13 ,68.63 ,21.28 ,0.25 ,
17.00 ,109.02 ,381.00 ,146.00 ,164.00 ,251.00 ,28.11 ,55.64 ,25.26 ,0.29 ,
18.00 ,121.45 ,379.00 ,146.00 ,161.00 ,249.00 ,28.27 ,71.38 ,21.81 ,0.35 ,
19.00 ,114.05 ,378.00 ,146.00 ,157.00 ,247.00 ,28.27 ,67.53 ,18.25 ,0.43 ,
20.00 ,139.13 ,376.00 ,145.00 ,158.00 ,243.00 ,28.70 ,56.67 ,53.76 ,0.29 ,
21.00 ,109.74 ,377.00 ,146.00 ,157.00 ,242.00 ,28.46 ,56.83 ,24.46 ,0.29 ,
22.00 ,115.24 ,378.00 ,147.00 ,157.00 ,241.00 ,28.77 ,62.38 ,24.09 ,0.54 ,
23.00 ,106.31 ,375.00 ,147.00 ,157.00 ,239.00 ,28.37 ,59.49 ,18.45 ,0.32 ,
24.00 ,112.89 ,373.00 ,145.00 ,157.00 ,237.00 ,28.12 ,56.79 ,27.98 ,0.49 ,
25.00 ,134.89 ,370.00 ,146.00 ,156.00 ,238.00 ,28.23 ,52.66 ,54.00 ,0.16 ,
26.00 ,104.12 ,371.00 ,146.00 ,156.00 ,238.00 ,28.25 ,57.84 ,18.03 ,0.21 ,
27.00 ,126.36 ,371.00 ,146.00 ,156.00 ,238.00 ,28.24 ,79.10 ,19.02 ,0.09 ,
28.00 ,107.12 ,369.00 ,144.00 ,158.00 ,239.00 ,28.24 ,59.26 ,19.62 ,0.25 ,
29.00 ,118.44 ,371.00 ,143.00 ,160.00 ,236.00 ,28.15 ,58.72 ,31.58 ,0.42 ,
30.00 ,153.63 ,370.00 ,143.00 ,158.00 ,235.00 ,28.05 ,70.29 ,55.29 ,0.24 ,
31.00 ,128.14 ,366.00 ,142.00 ,156.00 ,235.00 ,28.30 ,76.95 ,22.89 ,0.47 ,
32.00 ,127.17 ,366.00 ,143.00 ,155.00 ,233.00 ,28.40 ,44.57 ,54.20 ,0.37 ,
33.00 ,105.14 ,364.00 ,144.00 ,155.00 ,231.00 ,28.45 ,57.72 ,18.97 ,0.41 ,
34.00 ,109.36 ,367.00 ,142.00 ,155.00 ,230.00 ,28.28 ,60.10 ,20.98 ,0.53 ,
35.00 ,119.06 ,362.00 ,142.00 ,155.00 ,227.00 ,28.22 ,67.59 ,23.26 ,0.52 ,
36.00 ,114.54 ,365.00 ,142.00 ,155.00 ,227.00 ,28.30 ,64.52 ,21.73 ,0.16 ,
37.00 ,113.99 ,367.00 ,142.00 ,153.00 ,227.00 ,28.29 ,61.08 ,24.63 ,0.51 ,
38.00 ,140.42 ,368.00 ,141.00 ,154.00 ,227.00 ,28.28 ,59.34 ,52.79 ,0.34 ,
39.00 ,167.80 ,368.00 ,140.00 ,152.00 ,225.00 ,28.21 ,70.54 ,69.06 ,0.23 ,
40.00 ,120.88 ,368.00 ,141.00 ,153.00 ,220.00 ,28.22 ,74.15 ,18.50 ,0.49 ,
41.00 ,106.14 ,371.00 ,142.00 ,151.00 ,222.00 ,28.29 ,54.14 ,23.70 ,0.19 ,
42.00 ,117.48 ,369.00 ,140.00 ,152.00 ,221.00 ,28.30 ,66.29 ,22.89 ,0.23 ,
43.00 ,108.61 ,371.00 ,138.00 ,153.00 ,220.00 ,28.21 ,60.26 ,20.14 ,0.29 ,
