Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,Unnamed: 7,Unnamed: 8
264.0,90.98,313.0,145.0,27.78,46.85,16.35,0.67,
450.0,91.97,285.0,125.0,28.62,42.98,20.37,0.27,
1215.0,93.15,211.0,92.0,30.63,40.46,22.06,0.64,
3212.0,94.42,137.0,58.0,31.69,45.98,16.75,0.19,
3260.0,100.44,137.0,56.0,31.93,48.03,20.48,0.52,
3672.0,100.94,125.0,52.0,33.54,46.63,20.77,0.26,
6254.0,101.58,87.0,37.0,34.02,45.76,21.8,0.08,
6543.0,103.04,84.0,36.0,35.04,50.4,17.6,0.96,
7129.0,109.81,78.0,34.0,35.0,53.25,21.56,0.61,
7167.0,111.84,79.0,33.0,36.11,53.99,21.73,0.49,
7686.0,112.4,73.0,32.0,37.05,51.67,23.68,0.42,
8199.0,113.0,67.0,29.0,39.08,53.84,20.08,0.29,
9235.0,115.22,60.0,26.0,41.6,51.77,21.85,0.2,
9467.0,117.27,56.0,26.0,41.65,52.96,22.66,0.28,
9687.0,119.12,56.0,25.0,42.26,53.1,23.76,0.24,
9757.0,123.35,56.0,24.0,41.75,59.46,22.15,0.23,
9818.0,137.39,54.0,24.0,42.64,70.88,23.87,0.85,
9968.0,122.01,54.0,25.0,41.14,54.29,26.59,0.64,
9969.0,132.82,53.0,25.0,41.7,61.23,29.89,0.31,
