worker_dock_am,worker_inbound_am,worker_outbound_am,forklift_dock_am,forklift_inbound_am,forklift_outbound_am,worker_dock_pm,worker_inbound_pm,worker_outbound_pm,forklift_dock_pm,forklift_inbound_pm,forklift_outbound_pm,,,,,,,,,,,,,,,
2,12,3,2,7,3,3,8,4,3,8,4,,,20,0.625,7,0.21875,,32,,,0.583333333,12,,0.533333333,15
2,4,5,2,4,5,6,12,3,6,10,3,,,16,0.5,8,0.25,,32,,,0.363636364,11,,0.526315789,19
2,3,9,2,3,9,2,11,5,2,7,5,,,14,0.4375,14,0.4375,,32,,,0.214285714,14,,0.5,14
3,3,2,3,3,2,5,10,8,5,7,5,,,13,0.419354839,10,0.322580645,,31,,,0.375,8,,0.411764706,17
4,4,2,4,4,2,2,17,2,2,10,2,,,21,0.677419355,4,0.129032258,,31,,,0.4,10,,0.714285714,14
3,2,3,3,2,3,2,17,2,2,13,2,,,19,0.655172414,5,0.172413793,,29,,,0.25,8,,0.764705882,17
4,3,3,4,3,3,6,14,3,6,10,3,,,17,0.515151515,6,0.181818182,,33,,,0.3,10,,0.526315789,19
2,2,2,2,2,2,2,9,11,2,9,6,,,11,0.392857143,13,0.464285714,,28,,,0.333333333,6,,0.529411765,17
2,2,2,2,2,2,7,20,2,7,9,2,,,22,0.628571429,4,0.114285714,,35,,,0.333333333,6,,0.5,18
2,2,3,2,2,3,5,10,5,5,8,5,,,12,0.444444444,8,0.296296296,,27,,,0.285714286,7,,0.444444444,18
3,2,2,3,2,2,2,7,12,2,7,8,,,9,0.321428571,14,0.5,,28,,,0.285714286,7,,0.411764706,17
2,4,2,2,4,2,2,14,6,2,12,4,,,18,0.6,8,0.266666667,,30,,,0.5,8,,0.666666667,18
2,10,2,2,10,2,2,9,3,2,9,3,,,19,0.678571429,5,0.178571429,,28,,,0.714285714,14,,0.642857143,14
3,12,3,3,12,3,2,10,2,2,10,2,,,22,0.6875,5,0.15625,,32,,,0.666666667,18,,0.714285714,14
2,2,6,2,2,5,6,11,2,6,11,2,,,13,0.448275862,8,0.275862069,,29,,,0.222222222,9,,0.578947368,19
2,8,2,2,8,2,2,10,4,2,10,3,,,18,0.642857143,6,0.214285714,,28,,,0.666666667,12,,0.666666667,15
6,2,2,6,2,2,3,9,6,3,9,6,,,11,0.392857143,8,0.285714286,,28,,,0.2,10,,0.5,18
4,3,2,4,3,2,4,15,2,4,15,2,,,18,0.6,4,0.133333333,,30,,,0.333333333,9,,0.714285714,21
2,6,2,2,5,2,2,11,4,2,11,4,,,17,0.62962963,6,0.222222222,,27,,,0.555555556,9,,0.647058824,17
2,2,2,2,2,2,4,17,5,4,7,5,,,19,0.59375,7,0.21875,,32,,,0.333333333,6,,0.4375,16
2,6,2,2,6,2,2,12,6,2,10,6,,,18,0.6,8,0.266666667,,30,,,0.6,10,,0.555555556,18
2,2,2,2,2,2,3,16,3,3,12,3,,,18,0.642857143,5,0.178571429,,28,,,0.333333333,6,,0.666666667,18
3,2,2,3,2,2,6,16,2,6,10,2,,,18,0.580645161,4,0.129032258,,31,,,0.285714286,7,,0.555555556,18
9,3,3,9,3,3,2,8,3,2,8,3,,,11,0.392857143,6,0.214285714,,28,,,0.2,15,,0.615384615,13
4,2,3,4,2,3,6,12,2,6,9,2,,,14,0.482758621,5,0.172413793,,29,,,0.222222222,9,,0.529411765,17
2,4,2,2,4,2,7,11,2,7,11,2,,,15,0.535714286,4,0.142857143,,28,,,0.5,8,,0.55,20
7,2,2,7,2,2,3,9,5,3,9,4,,,11,0.392857143,7,0.25,,28,,,0.181818182,11,,0.5625,16
2,3,2,2,3,2,2,17,3,2,14,3,,,20,0.689655172,5,0.172413793,,29,,,0.428571429,7,,0.736842105,19
3,2,2,3,2,2,9,11,2,9,11,2,,,13,0.448275862,4,0.137931034,,29,,,0.285714286,7,,0.5,22
3,2,5,3,2,5,6,11,2,6,11,2,,,13,0.448275862,7,0.24137931,,29,,,0.2,10,,0.578947368,19
6,5,3,6,5,3,3,9,7,3,9,5,,,14,0.424242424,10,0.303030303,,33,,,0.357142857,14,,0.529411765,17
,,,,,,,,,,,,,,,0.533176766,,0.233780638,,,,,,,,,
