Objective 1,Objective 2,Objective 3
108.88663961999998,639,252
166.83752220333335,531,183
104.85740873666667,673,232
317.7209759633334,521,184
244.71892212,519,172
193.649832495,571,174
169.21428947666666,556,169
238.02654029166666,510,167
3053.901223698333,512,168
702.1621638816666,496,157
344.0378772866667,493,171
524.03521952,469,171
438.9309605733333,508,169
311.8475511683333,484,165
293.9653104133333,498,154
644.9895836016667,482,156
124.98850635166667,566,249
913.7001545566666,480,189
352.6620568083333,494,156
518.161785415,499,154
1398.49709093,477,161
290.50254273666667,490,166
858.850727095,481,163
212.67252228666666,518,198
879.3497706516667,476,163
1023.3345711866667,481,155
97.58506320333333,718,218
127.22536391833333,559,254
653.4690985566667,488,154
762.92199512,483,158
141.17209439,520,179
121.89316030833334,592,198
272.99343696333335,497,153
324.173530905,493,165
871.9253734733334,508,171
104.5550979,652,219
256.57956499333335,550,175
96.88932301166668,680,215
269.3093899983333,502,151
257.134305125,515,185
172.060295745,548,175
890.4417064766667,481,165
717.8971442416666,484,158
340.9889890333333,484,163
316.07800930499997,479,164
352.32858794,478,162
97.16099461166667,704,213
2097.57275871,480,158
218.37847867666667,549,177
383.28629613666664,472,158
581.6606238583333,494,169
463.85977792833336,479,164
387.514931315,504,166
150.20641695,566,174
214.94757137666664,491,169
329.7934728216666,530,174
916.9742936733334,479,165
179.9492578,499,171
1248.5618717883333,487,156
499.6765559816667,472,158
340.7802066283333,493,171
808.4178741833332,471,164
341.76282886166666,495,159
100.59074064999999,649,206
413.3706949,492,159
419.44592033500004,492,159
461.64138995666667,496,192
109.10191467166668,502,185
490.11724370166667,507,194
350.68459079166666,480,186
166.67861271499999,575,216
276.174373935,504,177
198.68054642166666,506,166
999.7358171599999,487,162
105.08786818666667,693,223
298.52899945666667,572,178
101.74083817333334,693,221
195.90875365833332,563,175
375.8719215433333,492,163
304.77379156166666,479,189
498.7213695483333,524,164
332.21825093333325,483,158
213.57821817666667,552,179
536.5936925183333,485,165
1272.0411166583333,470,215
809.4688212916667,480,186
278.30242857666667,487,172
572.413288085,490,171
2130.8395258216665,477,161
922.6522760633333,459,168
988.6047209899999,476,180
91.46644616333333,710,232
2872.931944821667,473,168
2008.2359743983332,466,169
169.09653733833335,501,213
378.720091455,506,152
722.68247286,496,156
206.07226367333334,508,195
1107.1755126833332,489,158
892.5943956083335,484,161
705.57611479,482,167
489.53610486,489,149
377.43281735666665,487,168
561.6749928083334,497,149
94.71440373333333,660,233
102.80607913333333,653,229
304.8541872266667,478,162
535.5611664533333,488,159
324.22735761166666,488,177
242.78146660666667,486,167
259.835305165,551,176
654.35131543,473,167
607.652267585,498,150
374.0406367666667,485,175
332.4379638483333,478,153
138.228321155,557,175
488.36905774,494,156
2565.853020543333,488,202
723.4519241816666,499,193
475.272011625,549,180
1762.0655903416666,471,165
1168.0660656716666,478,167
101.97654069,682,200
617.8253830149999,504,148
96.38431035166667,694,253
587.566567205,498,177
160.17429028333333,515,183
139.84099237333334,547,184
1906.9207450533336,497,194
1207.3179203716668,488,163
2176.729765116667,497,164
1249.0768218383334,506,161
1960.7691774883333,475,163
1081.6382605,484,156
887.2910865516667,469,169
2816.0654290750003,473,164
672.9332425116665,480,171
3757.690806498333,477,175
566.1160989616667,474,171
1437.4303892083333,473,182
1829.2412520683333,484,172
743.48456557,509,164
335.46495748499996,487,173
103.40214979333334,669,230
767.5554296366666,495,168
106.75054013500001,725,224
1404.514278055,468,176
107.98124246666667,703,220
106.45963638333333,687,213
101.50472801666668,699,213
313.09283583666667,510,156
867.40526744,503,168
370.99958925666664,510,148
674.30536114,504,150
304.12451487,500,166
155.62157442,521,197
808.9183069683334,494,163
96.051773525,709,218
4915.018581136666,499,159
969.2970462150001,479,179
1583.8933348066666,500,157
805.196233655,493,157
380.02160054666666,484,179
94.34155810833334,707,236
435.33081794,482,167
685.1934695383333,483,162
463.90609436666665,476,175
193.44428283833335,558,176
392.31763658,521,192
295.50160932666665,527,184
156.399370275,559,177
188.89946151833334,514,166
241.72301857333332,528,174
897.36579009,478,169
690.6724129316666,515,148
835.17715584,480,174
833.2091513199999,468,181
1032.7942128866666,471,164
266.30067073333333,493,168
311.3468250216667,493,185
347.821399305,517,155
312.8368361116667,493,180
476.90458038833333,555,175
667.7108628849999,503,216
1202.5833078633334,479,167
189.25923103166667,492,181
259.61304805,507,196
1059.61878481,500,170
702.7833043133334,490,169
225.50949566833333,567,175
880.4435500916667,484,187
163.53972547499998,522,186
161.44957403499998,573,170
319.97863193666666,506,164
1096.4185450633333,494,181
577.0677082533334,492,175
579.36405087,479,162
765.2830126633334,498,183
435.85738704,531,178
329.04029249666667,514,157
460.383981705,500,170
103.54343969666668,653,211
318.51915323,505,179
136.54566270666666,546,172
150.66025247166667,499,172
450.1492437633333,508,198
648.863738345,511,166
1058.93174995,514,197
320.3538834266667,484,177
203.940566745,511,201
431.96001585499994,518,146
231.86052866000003,490,186
450.0038281833334,509,149
451.20366205666664,508,150
680.5961412116666,486,159
322.2531211566667,500,167
300.61003079833336,492,154
99.68493873833333,702,198
499.3107557833333,490,170
284.73237413833334,501,161
103.05011919,666,241
373.3138811333333,477,184
308.00296681,511,153
1102.8358666,487,166
317.98385299666666,521,186
280.17297265166667,517,152
1972.7549952816664,495,155
1138.0667404016667,487,153
255.41212890166668,517,163
603.8043310166667,492,195
106.98527887166667,600,200
676.3779850016666,482,152
403.68838368333337,487,150
169.623044615,562,157
526.8029588666667,484,161
361.96995960000004,491,166
100.27157233333334,666,240
878.674029305,470,171
1491.2123844233333,482,172
1986.7330776233332,482,169
4940.848353846667,484,151
1615.6994850283334,499,158
1147.0185553933331,480,162
1822.3617801183334,491,151
1665.513504225,494,165
465.4271644283334,517,148
1013.9707278400001,494,167
762.331078935,477,167
1742.3971834116667,468,168
1261.1503363283332,501,168
4496.766277503333,483,154
694.6531573033333,500,153
395.2096006666667,511,151
122.96370152333333,505,156
269.94526347833335,495,182
1119.9790389083332,482,158
164.6287575066667,516,169
678.44264708,497,165
158.13324641666668,510,147
861.4149711666668,487,155
151.00501510333333,500,155
1075.3975288066667,486,166
1152.15700124,479,151
165.58255264000002,493,163
557.15197301,483,158
625.7185232266665,499,167
197.3150550533333,531,156
657.4145540266667,493,173
1809.73394258,484,153
807.9428687283333,495,195
484.512827975,486,150
1023.530392805,481,157
687.1125550033333,502,170
172.021018565,477,158
616.1821115916666,500,151
100.44429695833334,701,230
1504.8918019933333,487,149
1107.7782178016666,499,157
632.8117695666667,485,177
677.4974431033332,524,190
4397.898565185,480,151
550.7122658666667,497,163
865.7157577516666,487,150
221.66963907666667,517,186
440.508730525,509,151
1626.511851205,503,173
1940.94042167,479,160
325.7357309566667,517,172
223.63680133999998,549,171
148.47317782833332,543,175
133.0368615333333,555,174
2400.502086156667,485,159
387.9411752383333,490,149
106.48517892000001,664,242
354.5961153983334,543,174
490.435974935,510,152
174.14291636166666,579,180
382.08833264,502,153
512.38710241,492,154
483.31131400666663,502,196
788.6637651083332,484,172
243.46383621333334,486,173
361.521152555,478,171
447.8129952666667,489,159
428.02425486333334,487,179
1808.2985261066667,500,155
1940.3228469783335,483,164
249.38601956333332,512,198
341.7343765283333,501,175
979.5919093466667,481,177
485.6694793916667,551,175
794.6672709483332,472,192
1616.6999369966666,479,167
323.67743802999996,507,150
342.69715873333337,515,153
358.0187688683333,530,167
1299.2592525733332,501,156
104.99884642166667,662,233
210.16813762166666,516,186
494.9787000316667,486,159
445.278019705,465,173
649.99685254,577,178
354.34253455,544,175
129.92744302666668,536,176
970.8520989416666,503,160
622.4182617283334,494,155
766.8623083483334,485,159
95.57871497,697,219
98.90165018666667,721,206
550.4968735216665,489,175
108.523722445,660,232
101.29393461666668,709,199
102.23122305666666,709,212
584.9001986333333,501,170
2087.7721096883333,474,168
469.2302670533333,495,193
876.6126680833333,475,164
3458.022047273333,494,161
226.71572347833333,514,166
503.84157073333336,495,182
457.1851236683333,539,183
4164.373292028334,497,175
1232.381773715,492,152
548.9693585266667,495,157
582.6208559166666,474,160
4573.922264853334,492,168
1212.6737933916668,477,163
149.55714388,554,180
873.5892912333334,504,162
106.95091668666667,685,228
92.20212340500001,779,219
196.37368593666667,533,202
1042.4041468033333,514,155
302.64203140999996,527,183
108.11356938,645,190
97.76691460333333,680,212
1342.0862680633334,489,175
284.5224697983333,500,158
370.7992601766667,488,173
735.376948705,522,170
3008.9649118533334,495,183
344.37380919000003,510,160
1292.6403331850001,508,149
908.8277009316666,495,164
299.14490426833333,519,175
102.36248295666667,658,230
968.6568757433332,485,160
453.57487565499997,492,160
559.8515046383333,499,199
279.85063404333334,512,157
899.1933435499999,486,155
370.4936165816667,502,184
102.40040999666667,663,201
436.48950373499997,507,159
286.63257027833333,519,162
250.04287225833338,545,184
441.68141706833336,565,164
341.133922965,503,166
1276.3203303383334,478,162
250.26280269666665,529,151
972.6262277066667,494,174
182.07834499166665,550,195
321.45357442166664,486,201
654.3993251283334,497,196
178.42751894166668,565,181
910.1402450516666,509,212
351.655082985,497,164
337.0730496833333,538,184
861.3013611283333,496,157
297.97745116166664,506,161
160.979811275,585,189
265.17240502833334,512,152
143.29332235666666,523,177
443.70047419499997,507,164
306.926314535,522,176
2010.052718515,497,153
493.053122065,492,151
180.84641813333332,558,183
2292.588273861667,484,161
378.2667646333333,517,211
516.7031338966667,498,147
399.0589732183334,508,211
219.8518752,500,213
1828.7795679066667,513,145
1011.5902214383334,500,154
1954.8992618466666,500,167
798.9657700466666,505,156
2463.154962028333,508,150
555.855390485,528,147
1963.103025705,506,154
671.3960436383334,498,151
792.2374322516667,511,158
623.1568090383333,479,165
195.425445925,544,232
786.2412741250001,481,161
198.17232593666665,546,163
4909.135489413333,483,174
560.5222652466667,513,149
133.00888208,584,177
1263.2223873933333,486,173
586.560464065,510,204
2541.029309241667,499,154
758.2333270666667,503,151
933.2342674216668,471,182
682.6853346216667,497,153
1218.5089172583332,506,149
320.9807324166667,519,162
1161.5591714916666,498,189
261.05447039166665,525,174
457.15602402,492,152
1106.4656980299999,494,170
