Objective 1,Objective 2,Objective 3
105.574580075,769,231
109.707743795,764,233
111.2468899,774,254
94.83986330333333,804,275
99.08014813666666,755,266
112.69428884166666,742,237
109.97063233333334,766,250
100.955147535,803,263
118.42838655666668,724,222
106.24550722666666,746,266
92.98566482999999,778,261
91.40435720666667,822,257
95.41105759666667,771,266
104.47254973,740,253
103.87245009333333,773,236
101.45799566333332,774,267
112.74623151499999,786,245
117.99151811833335,785,250
120.198367385,695,239
102.88401706333333,777,258
127.73002022833333,683,217
112.67969973166667,743,236
101.21733036166665,808,253
171.76965237500002,610,228
99.96363806833334,805,244
97.68788271,820,256
102.60292376833334,752,240
118.60749973333333,693,248
103.792036075,711,212
101.94089646166668,797,253
135.151502235,650,234
129.15914476166668,660,233
455.51089096666664,605,207
115.90804266166667,695,243
233.50302890166665,630,194
105.70669463666667,730,225
102.71050557000001,730,264
105.43545658333332,790,258
117.36280959,674,227
141.19838750333335,681,250
125.15826414333334,707,232
214.62471778333332,611,200
138.77954268666667,669,231
101.57334302666666,684,267
119.89606722333332,683,248
206.58990086000003,615,209
148.82962930833335,649,229
182.6088177183333,638,202
149.34313496666667,672,211
203.62016491333333,634,214
302.05645087333335,596,198
507.59542217166666,610,197
249.50975224666666,627,198
245.18809478,611,201
420.78765290999996,609,190
169.86326808833334,645,209
107.93084752333333,724,221
372.681524485,596,203
292.6773491866667,612,198
135.90829595666668,678,199
162.38380160333332,616,204
400.24163896333334,606,195
211.60764266999996,605,202
381.5658162666667,596,196
207.86998569500003,667,189
231.49450431666668,609,197
99.13867633166667,814,259
326.75645683,613,194
275.705459035,598,199
290.39090582333336,602,202
173.76385272833335,670,194
249.31191407333333,611,199
451.692003165,620,195
160.47821368,616,193
129.44284940166668,704,252
146.35397056,617,199
326.9842367283333,634,187
201.06503597,627,243
140.07669998333333,662,212
111.64198994666667,697,222
153.25272279166666,653,268
156.229435735,628,211
135.50574730333332,671,212
156.76025077666668,693,253
437.22801672833333,645,207
176.38577349,606,217
562.281885805,605,207
218.41190681833336,635,202
404.95929383333333,640,188
161.86500283,604,204
182.81873994,654,232
437.43690096,602,189
138.15223824333333,706,260
161.30714272166665,668,258
154.55783907666668,643,237
142.226530955,658,272
103.41177808,689,237
327.9726493033333,624,192
135.57875001833335,628,201
320.675175475,626,188
210.28019897333334,635,186
157.94978304666665,626,230
157.68466627333333,643,262
128.52908370666665,633,197
178.58637627666667,622,205
146.13349892,625,199
145.289185975,619,227
164.538703015,654,198
282.35541003833333,631,200
112.64372826833333,737,254
124.36948355166668,684,206
154.95812182999998,652,211
134.27261342166668,664,249
250.977370505,629,198
118.28438333,700,240
321.592180525,616,206
177.55013300666667,673,196
223.26727326833333,589,212
102.06723048,777,272
334.69874519666666,634,197
139.3931543333333,683,192
159.624900005,631,229
160.60509804333333,636,212
156.25457519166667,644,187
162.77136366666667,614,223
180.36516249833335,596,194
171.627746785,614,225
121.23570313333333,628,205
374.42828905500005,586,203
121.03174659666666,696,219
355.7430837833333,665,213
125.91845931499999,623,212
315.04470647333335,661,208
247.87161251166665,630,211
286.5573807183333,601,220
98.68472735666668,827,260
206.06459424,647,213
149.19675721833332,688,189
175.63146640333332,606,208
209.63653632666666,607,201
409.13412310833337,591,191
137.33964203166667,714,283
318.3941890916667,694,208
267.41654517666666,680,223
140.28183954833332,667,260
507.866859015,678,200
238.67900621500002,695,224
126.15484570000001,718,269
99.60660656333334,816,258
137.96928906833332,684,226
341.1262261533334,690,212
202.68959080833332,643,210
1320.1183316683334,636,211
172.34864903833335,588,211
151.31913357000002,658,213
103.98877331166666,808,266
181.44703898333333,608,201
170.63738594833333,653,250
172.381970535,627,206
103.43491225833333,731,255
197.153525395,657,186
119.331450545,702,225
124.50876004833334,658,258
107.41816276833333,730,247
103.36965106666668,723,260
500.6810511633334,639,217
144.91391446,634,197
128.95971657666666,702,270
213.07694075333333,638,217
106.65658422833333,747,243
