Objective 1,Objective 2,Objective 3
103.36724553333333,677,220
106.85339664333333,671,249
104.245165225,647,231
99.95681452833334,691,216
107.03659185333333,642,253
118.36645898833332,660,196
110.19824635833332,636,272
121.81294283666666,639,188
107.29314073166667,648,205
106.19390036,662,184
110.00802320333334,724,257
95.93082419666666,720,199
126.69396639666667,579,215
136.00703298166667,591,228
114.11540661833334,614,199
131.015894265,629,205
111.18878849500001,674,222
147.82346266166667,578,187
139.91826056333332,589,190
111.76314523833334,619,189
111.41743242666666,627,181
125.08685742333333,690,254
127.15554000833333,616,182
102.21820983166667,651,213
111.818693785,763,289
101.32503353,779,291
114.01124587166667,651,196
97.20422036,684,199
130.61223883,595,206
102.84078113000001,627,209
110.206039995,600,251
109.72056554333332,612,188
101.34003562166666,684,228
107.18341169166666,757,232
558.46474826,538,192
122.25292461833332,634,206
511.93295671,541,187
108.86713975333333,630,221
153.79077764833335,574,182
422.68541312,550,190
138.43139488,624,217
316.3553883966667,551,176
129.48791817333333,613,203
114.057065865,636,194
134.31271703,567,186
122.9955936,600,216
147.04304851666666,581,182
138.04313295666665,586,199
399.7667364133334,543,193
126.55757292666667,668,188
98.01758448499999,695,245
130.96060926833331,600,192
337.62623540333334,559,178
214.70845864666668,573,173
197.7263292783333,568,185
124.75568214666666,604,175
189.32049410500002,581,172
108.618711265,613,250
137.80620401333334,596,193
159.44509921,583,187
171.63514032166668,570,189
283.84962801333336,559,175
245.3297488466667,552,179
182.74233062166664,544,175
213.09072924666668,570,172
109.24851842666666,664,203
178.12704873166666,567,194
214.73905068166664,557,174
206.73943127333334,559,170
207.09188937,591,163
452.8832722283334,540,175
365.52203201000003,539,190
126.43342090833333,615,183
163.88018163166666,548,180
153.78270401000003,560,177
344.29675103,546,187
184.51371882333336,584,203
354.259528705,543,176
301.60386604666667,553,183
166.29698865999998,566,176
141.989490435,608,191
259.14168027,551,172
217.68168676333332,568,165
323.96174493166666,546,171
296.49519121000003,604,161
606.9680796633334,551,160
146.92441767333332,586,189
217.79539756999998,605,176
213.922336285,609,162
203.94472453,571,158
155.00638769,593,186
181.74054878500002,607,176
138.374722425,617,174
975.1538500300001,549,159
134.115014665,649,200
911.7397530883334,552,158
518.9766452599999,552,161
279.5047575483334,563,164
314.58808105833333,600,161
574.5475612849999,620,159
734.8536671316666,561,159
490.02163831999997,557,167
296.74028583,559,163
91.28574850333332,752,243
193.49995151666667,578,158
195.72737536666668,598,185
143.46049351833332,559,194
257.37751661,574,172
518.16633324,542,175
183.81454793333336,581,184
191.51914000666665,626,161
103.003187815,673,278
275.4910239116667,585,181
225.56919741166666,602,179
194.66298482166667,620,155
101.21866956,691,255
223.78342030333334,567,160
101.79641720333333,703,248
439.70381169166666,572,163
187.21397538166667,573,163
106.69332123999999,615,187
96.25352323333334,673,204
244.25339072,600,184
775.2488202516666,611,156
762.4458145016666,544,173
240.54555139833337,566,188
212.10880061666668,586,159
200.69666059000002,588,185
262.26945592833334,589,181
184.17929688166666,581,176
137.88972144333334,601,176
131.02197558,575,180
229.6263097816667,570,191
339.89502000833335,547,170
241.7282663883333,583,194
257.9932901816667,579,172
134.82459263333334,632,185
99.85881512166667,678,212
161.78575626,627,164
149.54629985166667,580,188
440.50074534833334,565,171
123.71304902,612,207
466.8900302233333,548,159
141.012083825,597,213
144.23116892333334,631,196
180.69330459166665,662,157
346.50328422666666,633,154
104.26257696333333,700,198
204.36475580500002,598,161
175.65722415333335,596,175
141.53214459833333,603,210
267.7325509616667,559,180
733.9993381433334,532,179
158.59962400166665,675,153
843.7589444116667,551,172
135.83152963,626,179
147.75079346333334,571,195
1025.1615108866665,558,182
223.258003785,559,195
930.906792355,578,180
222.54110962333334,552,174
192.0780184333333,635,159
141.02897482833333,571,206
165.64010152166668,586,178
279.0998298933333,584,174
323.4548385983333,583,171
273.76937007833334,579,179
134.565384905,624,235
151.50887189166667,568,200
202.65083622833333,623,155
142.41205689666666,626,206
147.65417732666668,639,175
332.800073485,545,175
234.33211318,552,196
251.07531188333334,588,181
122.89908762333334,588,169
147.78989248166667,573,185
198.138109725,559,160
127.95688433833334,647,168
130.559318965,647,204
128.550605345,673,199
371.86484848,543,171
172.02595980333334,642,159
174.41214683166666,587,178
726.93694074,543,168
487.11861333166667,544,175
147.67535822333332,619,254
289.28522262333337,591,194
794.6449678283333,548,183
115.13145176166667,684,256
857.6020596766667,542,172
205.48272179666668,608,182
699.8882147016667,546,167
100.348252305,725,198
137.36691403,631,185
120.481922935,621,178
481.96378859000004,560,168
113.05837706833333,611,195
281.4938781266667,538,174
482.22402096666667,551,188
1014.7269735483333,556,173
319.04634889666664,591,161
375.0853974266667,547,176
164.28425096666666,654,162
208.15608276666666,602,168
197.45492581833332,544,202
598.0618725916667,520,174
389.74963902499996,545,165
149.289662405,575,219
145.17984571333332,594,209
164.47628993333336,603,173
113.66120149333332,619,202
142.93676545333332,608,164
164.05400500333332,592,195
200.27054283,591,203
135.37792592333335,605,196
1202.8014173149998,540,159
161.51754377666668,639,156
243.32645468833334,590,167
142.37691554166668,598,169
171.98210348499998,577,185
117.87706729000001,621,198
218.49619225666666,574,162
150.051847895,573,188
161.1343424016667,567,166
208.72586431,578,186
180.29007707999997,589,164
151.3512570166667,604,235
96.429093575,691,246
295.4687019566667,604,182
275.0012919083333,552,163
848.6086422249999,557,155
445.96931509499996,576,160
365.6862190516667,546,180
471.0016725483334,580,179
555.8747432916666,583,153
213.76772594833332,565,167
1140.5088015983333,534,178
463.90047789500005,534,178
466.5746133733333,543,165
367.84648301333334,532,178
461.9840184033333,575,162
156.62788213666667,611,191
623.2432167333334,534,167
831.4560477983333,591,162
722.255855,526,169
363.1878438983333,547,187
196.11180468166668,593,162
668.3144708416667,533,166
1223.8469796,564,162
494.8004793,547,172
237.07781075333332,565,190
335.62979235833336,593,153
227.12313106166664,554,170
238.89582990000002,599,175
270.17367327833335,573,180
280.9224700216667,576,161
355.7890534633334,594,161
160.702836,647,159
171.578466475,669,152
168.79048500000002,582,165
756.5214476666667,534,173
795.97561691,532,180
555.1322650633333,543,165
487.51776602166666,548,172
501.27710736833336,576,163
204.97398490166668,598,165
754.5541677016666,573,155
708.1043423733333,548,163
421.4890491516667,572,157
469.25907946666666,640,150
129.636088965,606,195
612.910305015,584,173
442.75886698,576,167
796.0727692800001,556,161
227.52945468333334,569,160
755.09853408,559,166
265.93186673499997,547,179
331.31723212,549,175
342.97143685333333,540,164
407.01315379666664,543,171
441.6218761666667,546,172
740.5601109833334,542,180
135.47843796666666,632,205
101.86883507666667,669,240
240.35000319,589,188
473.5211209133333,537,172
419.70169120833333,543,186
366.359958055,543,184
421.518656665,603,166
284.8246700116666,544,203
536.9405353266667,592,153
488.4707175633334,545,159
488.44117624833336,543,165
273.47135332666664,609,179
1040.7397717333333,561,169
181.20476829666666,606,214
682.3990917916667,535,158
396.30137432833334,568,159
302.4301788733333,601,159
256.7182361216667,564,175
761.9392879783333,576,168
544.5220636849999,524,182
291.5826149316667,532,186
687.1460489716667,537,158
704.66824021,539,168
423.9116307983333,599,168
1058.2764048433335,537,164
692.9500491916667,538,172
109.70710178499999,675,202
765.6847313883334,623,154
452.67160946499996,540,168
102.45865602333333,682,218
854.1107534866667,542,178
453.33287002,541,180
816.528976215,538,173
135.07073458833335,638,202
143.00847915833333,584,225
1008.4708589483334,536,195
2154.00156275,537,172
152.01560249,593,186
959.1768499750001,544,174
156.98643669,656,196
289.0915613766667,572,173
222.24293821833334,590,220
671.9356477050001,611,158
207.6494019383333,555,167
118.16963044166667,609,202
182.86506787333332,552,186
523.74685486,544,185
160.33204477,639,202
305.3888884933333,550,181
135.69673120000002,632,196
148.71501595,587,178
181.52028927333333,622,171
143.36277233166666,595,202
142.71057542166665,641,173
142.077091625,569,177
125.82810026166666,620,215
119.36703224000001,630,198
433.594531775,588,153
584.0614652500001,544,178
343.62284790833337,562,195
207.425876,537,177
156.52595249333336,557,183
420.4031279033333,549,175
806.9778563183334,544,165
255.577337875,603,185
466.2370219766667,559,163
245.58349216333335,594,169
893.1688600399999,560,151
669.8115404383334,547,160
743.134014065,574,154
880.8986351183333,544,157
268.78022068499996,585,168
165.3004162833333,579,159
622.852283265,543,169
382.86143441,540,159
1494.774056625,539,163
184.61543634666668,588,177
323.44324167,570,174
386.56619624666666,591,161
718.1652053733333,544,161
597.3406852416666,582,151
855.6684278716667,570,152
123.10973054666667,669,201
795.16777524,540,156
246.131800195,583,186
744.32261998,528,169
573.7730778516667,544,158
490.7482873,582,162
420.197103585,547,154
809.2870637866666,539,161
607.066757475,541,173
866.6154929383333,543,158
906.8219244416666,539,171
532.3234638683333,543,179
811.12391285,539,161
126.811735995,623,205
608.5757411516666,530,172
596.5435532483333,572,162
315.52506812999997,595,191
346.137273485,537,186
759.3969897983333,526,163
1015.3340128783334,539,169
515.0073433233333,539,159
673.1548342883333,551,158
237.0221679,561,159
255.9660155233333,611,185
250.78233393166667,571,253
