Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,
0,301.35,531,219,28.43,251.61,21.31,1
1,267.98,530,219,28.27,221.78,17.93,0.37
2,251.27,529,217,28.48,195.22,27.57,0.53
3,292.11,529,218,28.43,201.76,61.93,0.12
4,286.74,525,214,28.48,228.45,29.81,0.42
5,254.15,524,214,28.48,199.61,26.06,0.09
6,278.86,522,212,28.52,214.37,35.97,0.61
7,275.9,521,213,28.5,225.65,21.75,0.09
8,272.21,519,211,28.49,220.74,22.98,0.45
9,235.54,519,209,28.17,184.27,23.09,0.51
10,217.54,518,207,28.03,161.14,28.37,0.28
11,235.27,510,201,28.01,142.24,65.02,0.9
12,226.74,508,202,28.02,177.93,20.78,0.11
13,131.66,496,200,28,75.81,27.85,0.8
14,149.64,496,198,27.95,99.58,22.11,0.26
15,150.04,493,197,28.16,99.16,22.72,0.5
16,128.3,487,198,28.16,76.88,23.26,0.58
17,129.33,488,198,28.15,78.46,22.73,0.13
18,156.38,488,197,28.25,105.73,22.4,0.28
19,158.56,485,197,28.1,88.7,41.76,0.57
20,125.12,483,198,28.43,72.94,23.75,0.3
21,172.99,480,197,28.13,78.75,66.12,0.55
22,187.83,480,197,28.18,86.15,73.5,0.18
23,126.43,477,196,28.41,73.42,24.6,0.53
24,176.69,476,194,28.39,83.04,65.26,0.35
25,108.27,477,195,28.5,57.74,22.03,0.12
26,116.86,475,195,28.47,63.66,24.73,0.14
27,117.77,475,194,28.35,62.52,26.9,0.27
28,137.2,474,192,28.23,83.41,25.56,0.35
29,124.06,472,194,28.19,73.5,22.37,0.53
30,134.19,467,194,28.36,76.74,29.08,0.76
31,127.65,468,194,28.49,77.26,21.9,0.25
32,134.29,467,193,28.44,80.51,25.35,0.3
33,183.37,464,191,28.6,84.55,70.21,0.7
34,116.16,465,191,28.57,65.37,22.22,0.08
35,132.38,460,189,29.67,59.34,43.37,0.9
36,144.22,461,189,28.77,62.46,52.98,0.33
37,175.04,459,188,29.61,75,70.43,0.58
38,119.64,456,190,29.77,63.75,26.11,0.51
39,128.78,455,190,28.88,69.02,30.87,0.19
40,104.63,450,187,28.67,56.95,19,0.71
41,109.92,443,186,29.1,56.14,24.67,0.94
42,149.55,442,184,28.76,63.62,57.17,0.28
43,165.73,444,186,28.86,69.86,67.01,0.24
44,163.5,441,186,28.63,73.5,61.36,0.28
45,95.81,437,186,28.52,48.58,18.7,0.49
46,115.43,438,185,28.5,60.71,26.22,0.15
47,120.76,436,186,28.43,58.75,33.58,0.54
48,121.16,433,187,28.83,69.24,23.09,0.6
49,115.71,430,184,28.83,65.89,20.99,0.88
50,115.52,428,185,28.79,65.79,20.93,0.1
51,152.53,427,183,28.82,68.88,54.82,0.1
52,104.88,429,184,28.7,57.06,19.12,0.38
53,130.4,427,184,29.26,78.27,22.87,0.33
54,112.1,427,185,29,60.73,22.36,0.24
55,117.05,425,185,30.11,66.04,20.91,0.69
56,122.53,423,183,30.06,68.93,23.55,0.52
57,165.07,423,183,30.11,71.67,63.3,0.09
58,125.8,422,184,29.82,74.04,21.94,0.13
59,132.94,422,183,30.13,63.21,39.61,0.24
60,126.23,423,181,30.04,62.43,33.76,0.5
61,129.23,420,179,29.62,69.21,30.4,0.59
62,114.44,417,180,29.74,62.17,22.53,0.58
63,119.14,414,178,28.71,64.16,26.27,0.87
64,117.45,413,178,28.72,68.7,20.02,0.11
65,103.06,413,178,29.69,52.77,20.59,0.47
66,113.95,408,175,28.43,64.27,21.25,0.69
67,144.9,405,176,28.71,49.8,66.39,0.73
68,107.07,405,175,28.7,56.63,21.74,0.3
69,119.09,403,176,28.86,66.95,23.29,0.27
70,163.43,404,176,28.73,73.56,61.14,0.29
71,104.05,404,177,28.73,52.79,22.53,0.17
72,124.96,399,179,30.03,71.11,23.82,0.76
73,133.18,396,177,30.18,48.45,54.55,0.89
74,117.02,389,176,29.27,63.04,24.71,1
75,117.52,382,172,29.28,67.11,21.13,0.97
76,116.87,382,172,30.3,64.68,21.89,0.14
77,119.7,381,171,29.18,65.32,25.2,0.28
78,106.94,378,169,29.26,53.82,23.86,0.73
79,132.77,377,169,28.95,82.39,21.43,0.6
80,160.05,371,167,28.65,65.59,65.82,0.64
81,117.15,374,165,29.02,64.78,23.35,0.99
82,105.61,372,163,29,57.31,19.3,0.69
83,109.99,371,163,28.65,60.55,20.79,0.34
84,98.76,369,163,28.54,49.22,20.99,0.33
85,108.78,370,163,28.47,60.01,20.29,0.21
86,163.39,367,162,28.61,63.39,71.4,0.53
87,146.4,367,161,28.65,64.76,53,0.57
88,107.59,367,161,28.58,57.08,21.93,0.37
89,126.77,366,160,28.73,65.66,32.38,0.89
90,105.21,367,160,28.68,56.07,20.46,0.75
91,107.93,367,162,28.55,54.58,24.8,0.61
92,136.28,367,162,28.27,61.96,46.05,0.45
93,110.2,365,162,28.3,58.43,23.47,0.75
94,108.88,362,160,28.16,60.11,20.61,0.9
95,118.77,363,159,28.14,66.6,24.02,0.33
96,114.13,361,159,28.17,62.54,23.41,0.35
97,113.43,363,156,28.1,65.53,19.8,0.89
98,114.32,361,157,28.11,63.68,22.54,0.5
99,106.44,358,158,28.2,55.52,22.72,0.83
100,118.85,359,157,28.25,68.93,21.67,0.44
101,112.11,359,157,28.25,61.17,22.68,0.13
102,97.17,360,156,28.23,49.66,19.27,0.27
103,116.95,359,156,28.47,65.89,22.58,0.99
104,141.12,361,157,28.36,59.6,53.15,0.49
105,162.17,361,157,28.43,64.43,69.31,0.42
106,158.69,361,157,28.12,65.4,65.16,0.49
107,105.82,359,156,28.17,55.96,21.69,0.67
108,111.25,358,154,28.22,64.74,18.29,0.21
109,106.36,359,154,28.21,56.27,21.89,0.31
110,127.62,355,155,28.3,60.51,38.82,0.7
111,121.27,356,155,28.33,66.24,26.7,0.11
112,96.13,356,155,28.43,44.99,22.7,0.05
113,108.14,356,154,28.31,58.63,21.21,0.29
114,112.25,354,154,28.36,60.14,23.76,0.5
115,114.2,355,153,28.25,63.15,22.79,0.3
116,111.3,355,154,28.29,64.57,18.44,0.49
117,125.66,354,154,28.28,43.53,53.85,0.15
118,103.48,351,153,28.51,57,17.97,0.44
119,109.73,350,153,28.72,60.22,20.79,0.78
120,152.52,352,154,29,73.71,49.8,0.45
121,127.3,352,153,29.01,67.46,30.83,0.09
122,121.8,352,154,29.68,69.54,22.58,0.94
123,126.05,356,154,29.77,75.69,20.6,0.64
124,110.1,351,154,28.99,57.95,23.15,0.83
125,125.01,351,155,28.28,72.5,24.23,0.67
126,110.18,350,154,28.37,61.21,20.6,0.3
127,126.86,349,154,28.17,46.92,51.76,0.55
128,110.52,349,154,28.24,59.03,23.25,0.25
129,132.05,347,155,28.17,50.37,53.51,0.78
130,106.14,348,153,27.99,61.01,17.14,0.91
131,112.11,349,152,27.99,63.44,20.68,0.53
132,121.13,346,150,27.88,72.84,20.41,0.66
133,159.57,350,151,27.82,68.65,63.1,0.62
134,119.49,345,149,28.01,69.43,22.05,0.6
135,112.67,346,149,27.87,57.37,27.42,0.25
136,106.59,346,149,28.05,58.22,20.32,0.93
137,107.21,348,149,27.96,56.72,22.54,0.32
138,105.93,350,150,28.05,57.54,20.34,0.51
139,148.69,346,148,27.99,49.32,71.38,0.79
140,114.78,345,148,28,68.02,18.75,0.78
141,111,345,149,28.05,60,22.95,0.83
142,106.66,344,150,28.04,57.02,21.59,0.34
143,103.11,343,148,28.01,53.92,21.17,0.45
144,116.81,343,146,28.07,69.05,19.69,0.3
145,106.07,345,147,28.05,54.48,23.53,0.47
146,103.52,348,146,28.24,53.39,21.89,0.93
147,116.05,350,147,28.18,66.63,21.24,0.71
148,97.79,347,148,28.13,50.27,19.38,0.59
149,112.41,344,150,28.22,69.75,14.44,0.84
150,110.26,339,147,28.24,60.06,21.96,0.8
151,132.2,341,147,28.34,47.87,55.99,0.62
