Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
0,117.39,413,179,167,237,29.36,49.28,38.75,1,759
1,177.26,414,179,166,235,29.01,89.06,59.2,0.13,759
2,123.05,416,180,167,236,29.36,70.14,23.56,0.19,763
3,141.49,419,179,166,236,29.89,50.83,60.76,0.23,764
4,168.54,417,176,165,232,30.14,65.83,72.57,0.32,758
5,114.19,418,176,165,231,30.2,62.24,21.74,0.21,759
6,152.71,418,176,164,233,30.09,65.33,57.29,0.29,758
7,125.99,416,173,164,228,29.5,76.65,19.83,0.5,753
8,163.64,416,174,163,228,30.57,68.19,64.89,0.27,753
9,131.03,414,173,164,226,33.57,74.61,22.85,0.42,751
10,122.5,413,172,164,227,32.88,64.59,25.04,0.47,749
11,139.03,411,170,165,225,33.56,84.12,21.35,0.54,746
12,129.42,412,169,164,226,32.78,75.2,21.44,0.27,745
13,183.32,411,167,162,230,33.48,79.55,70.28,0.57,740
14,164.51,409,165,161,226,30.25,64.21,70.06,0.53,735
15,109.64,406,161,162,227,28.83,60.78,20.03,0.45,729
16,129.18,406,162,162,226,28.83,47.92,52.43,0.21,730
17,158.51,405,162,163,227,28.68,59.91,69.93,0.54,730
18,157.69,402,161,161,227,28.88,75.47,53.34,0.36,724
19,138.89,393,160,157,225,28.59,60.18,50.12,0.6,710
20,117.28,391,157,152,224,27.9,66.57,22.8,0.64,700
21,125.51,388,160,150,227,27.84,62.15,35.52,0.57,698
22,105.24,390,162,149,227,27.9,58.06,19.28,0.28,701
23,114.44,381,160,150,229,28.17,61.99,24.27,0.51,691
24,141.34,380,159,151,226,28.11,57.7,55.53,0.3,690
25,103.18,377,160,151,228,28.06,58.72,16.4,0.45,688
26,164.44,375,160,151,226,27.99,71.26,65.19,0.29,686
27,159.39,377,161,149,226,28.1,67.09,64.21,0.44,687
28,102.6,377,157,148,227,28.01,50.64,23.94,0.56,682
29,114.73,378,157,149,228,27.99,63.3,23.43,0.23,684
30,106.7,379,157,149,228,28.02,56.68,22,0.07,685
31,123.47,376,159,152,228,27.99,73.28,22.2,0.5,687
32,122.75,377,158,153,230,28.47,74.14,20.14,0.31,688
33,158.37,374,158,153,229,28.46,73.18,56.74,0.16,685
34,123.24,373,154,152,228,28.48,70.26,24.5,0.39,679
35,171.96,373,154,152,229,27.94,70.98,73.03,0.13,679
36,115.75,373,153,153,231,28.43,67.15,20.16,0.5,679
37,149.11,373,153,153,230,28.44,70.28,50.38,0.22,679
38,112.05,372,152,152,230,27.76,59.64,24.65,0.51,676
39,140.59,374,148,152,229,28.45,59.7,52.44,0.49,674
40,107.12,373,147,150,230,27.93,57.81,21.37,0.2,670
41,105.13,376,147,148,231,27.95,60.65,16.52,0.36,671
42,115.15,376,146,147,230,28.42,64.33,22.39,0.36,669
43,163.24,374,144,143,229,28.37,65.65,69.22,0.38,661
44,156.67,372,145,142,225,27.88,62.87,65.91,0.33,659
45,107.97,377,146,139,224,27.88,54.22,25.87,0.34,662
46,103.67,376,146,140,223,27.89,56.39,19.39,0.17,662
47,112.83,375,146,139,223,27.8,59.7,25.33,0.29,660
48,95.35,375,147,139,222,27.77,44.06,23.52,0.25,661
49,141.59,376,147,139,222,27.83,51.29,62.48,0.26,662
50,112.04,372,147,138,219,27.81,65.53,18.7,0.41,657
51,85.15,373,147,137,219,27.8,39.28,18.07,0.32,657
52,110.8,373,146,137,218,27.81,59.58,23.42,0.08,656
53,147.26,373,144,137,216,27.8,55.26,64.2,0.21,654
54,119.32,374,145,137,218,27.71,67.65,23.96,0.28,656
55,100.71,376,146,138,218,27.68,49.34,23.68,0.29,660
56,144.85,374,145,136,218,27.68,48.59,68.58,0.35,655
57,100.54,377,145,136,218,27.7,51.47,21.37,0.41,658
58,112.53,374,144,136,217,27.72,62.47,22.34,0.24,654
59,111.31,373,144,137,216,27.68,62.43,21.2,0.34,654
60,110.15,372,141,136,221,27.78,60.65,21.72,0.64,649
61,119.79,370,140,136,219,27.86,62.51,29.42,0.74,646
62,111.21,368,141,134,220,27.96,52.95,30.3,0.44,643
63,118.07,366,140,135,219,28.01,62.96,27.1,0.3,641
64,153.72,365,139,136,220,28.01,57.44,68.28,0.3,640
65,111.89,365,139,136,219,27.94,60.46,23.5,0.1,640
66,117.72,360,140,136,221,28.16,61.97,27.59,0.36,636
67,115.98,357,138,136,221,28.32,61.45,26.21,0.34,631
68,116.38,355,138,135,219,28.77,63.32,24.29,0.5,628
